TicketID,FieldID,FieldName,FieldData,TicketID,Asset Ownership ,Computer Hardware,Computer-Related Hardware,Conference 1 - Projector part affected,CSC Ticket Number,CSC Ticket Submission Date,Facility Asset Selection,Hardware Type,Laptop-related,Location of Issue,Network / Connection Issues,Network / Connection Related,Parking / Parking Lot Issue,PC / Tower - Related,Pratt & Whitney UCA Asset Types,Printing Hardware,Printing Issues,Projectors,PSI Owned Asset Types,Software ,Software Issues,Telecommunication Hardware Issues,Telecommunication Hardware
166,IT Support,PSI-LAPTOP101,Windows,166,PSI Owned ,,,,,,,,,FL - PSI East Office (900 E. Indiantown),Other,Other,,,,,,,Connection,,,,
167,IT Support,PSI-LAPTOP101,Windows,167,PSI Owned ,,,,,,,,,FL - PSI East Office (900 E. Indiantown),Other,Other,,,,,,,Connection,,,,
172,IT Support,PSIPROBOOK,Windows,172,PSI Owned ,,,,,,,,,FL - PSI East Office (900 E. Indiantown),Drive / Folder Access,Access Permissions,,,,,,,Connection,,,,
173,IT Support,PSIPROBOOK,Windows,173,PSI Owned ,,,,,,,Printing Hardware,,CT - PSI Hartford Office,,,,,,Printer,Other,,Hardware,,,,
174,IT Support,PSIPROBOOK,Windows,174,PSI Owned ,,,,,,,,,FL - PSI East Office (900 E. Indiantown),,,,,,,,,Software,MS Outlook,Other,,
183,IT Support,PSI-LAPTOP87,Windows,183,PSI Owned ,,,,,,,,,FL - PSI Assembly Ops,Drive / Folder Access,,,,,,,,Connection,,,,
186,IT Support,PSIPROBOOK,Windows,186,PSI Owned ,,Laptop,,,,,PC / Laptop / Walk-up,,FL - PSI East Office (900 E. Indiantown),,,,,,,,,Hardware,,,,
187,IT Support,PSIPROBOOK,Windows,187,PSI Owned ,,PC / Tower,,,,,PC / Laptop / Walk-up,,CT - PSI Hartford Office,,,,,,,,,Hardware,,,,
188,IT Support,PSIPROBOOK,Windows,188,PSI Owned ,,,,,,,,,FL - PSI East Office (900 E. Indiantown),,,,,,,,,Software,MS Outlook / Email or Distribution List Issues,Other,,
189,IT Support,PSIPROBOOK,Windows,189,PSI Owned ,,,,,,,,,FL - PSI East Office (900 E. Indiantown),Drive / Folder Access,Other,,,,,,,Connection,,,,
190,IT Support,PSIPROBOOK,Windows,190,PSI Owned ,,PC / Tower,,,,,PC / Laptop / Walk-up,,FL - PSI East Office (900 E. Indiantown),,,,,,,,,Hardware,,,,
191,IT Support,PSIPROBOOK,Windows,191,PSI Owned ,,,,,,,,,FL - PSI East Office (900 E. Indiantown),Other,Other,,,,,,,Connection,,,,
192,IT Support,PSIPROBOOK,Windows,192,PSI Owned ,,,,,,,Telecommunications / Phone,,FL - PSI UCA West,,,,,,,,,Hardware,,,,Conference Room Phone
193,IT Support,PSIPROBOOK,Windows,193,PSI Owned ,,,,,,,,,FL - PSI East Office (900 E. Indiantown),Internet,Disconnected,,,,,,,Connection,,,,
