,TicketID,TicketType,Location of Issue,Asset Ownership ,PSI Owned Asset Types,Hardware Type,AssetName,AssetTypeName,Computer Hardware,Computer-Related Hardware,Conference 1 - Projector part affected,Laptop-related,PC / Tower - Related,Printing Hardware,Printing Issues,Projectors
65,147,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Connection,,PSI-LAPTOP101,Windows,,,,,,,,
66,148,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Hardware,Other,PSI-LAPTOP101,Windows,,,,,,,,
67,149,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
68,150,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
69,153,IT Support,FL - PSI East Office (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
70,154,IT Support,FL - PSI East Office (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
71,157,IT Support,GA - PSI UCA Atlanta,PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
72,158,IT Support,FL - PSI UCA West,PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
73,159,IT Support,FL - PSI East Office (900 E. Indiantown),PSI Owned ,Hardware,PC / Laptop / Walk-up,PSI-LAPTOP101,Windows,,PC / Tower,,,Monitor,,,
74,161,IT Support,FL - PSI East Office (900 E. Indiantown),PSI Owned ,Hardware,PC / Laptop / Walk-up,PSI-LAPTOP101,Windows,,Laptop,,Memory,,,,
75,162,IT Support,FL - PSI East Office (900 E. Indiantown),PSI Owned ,Hardware,PC / Laptop / Walk-up,PSI-LAPTOP101,Windows,,Laptop,,Charger,,,,
76,163,IT Support,FL - PSI East Office (900 E. Indiantown),PSI Owned ,Connection,,PSI-LAPTOP101,Windows,,,,,,,,
77,166,IT Support,FL - PSI East Office (900 E. Indiantown),PSI Owned ,Connection,,PSI-LAPTOP101,Windows,,,,,,,,
78,167,IT Support,FL - PSI East Office (900 E. Indiantown),PSI Owned ,Connection,,PSI-LAPTOP101,Windows,,,,,,,,
79,172,IT Support,FL - PSI East Office (900 E. Indiantown),PSI Owned ,Connection,,PSIPROBOOK,Windows,,,,,,,,
80,173,IT Support,CT - PSI Hartford Office,PSI Owned ,Hardware,Printing Hardware,PSIPROBOOK,Windows,,,,,,Printer,Other,
81,174,IT Support,FL - PSI East Office (900 E. Indiantown),PSI Owned ,Software,,PSIPROBOOK,Windows,,,,,,,,
82,183,IT Support,FL - PSI Assembly Ops,PSI Owned ,Connection,,PSI-LAPTOP87,Windows,,,,,,,,
